product_id,product_name,category,sub_category,unit_cost,selling_price,reorder_level,safety_stock,supplier_id,profit_per_unit,profit_margin
P020,Product 020,Office Supplies,Stationery,1946.07,2297.9,78,31,S002,351.83000000000015,0.15310936072065806
P021,Product 021,Home Appliances,Kitchen,2470.72,2945.59,47,37,S012,474.87000000000035,0.16121388244799864
P022,Product 022,Industrial,Safety,7083.75,9065.34,111,34,S007,1981.5900000000001,0.2185897054054233
P023,Product 023,Electronics,Accessories,1939.29,2561.5,96,50,S003,622.21,0.24290845207886005
P024,Product 024,Office Supplies,Stationery,3955.92,5645.0,63,33,S015,1689.08,0.29921700620017716
P025,Product 025,Office Supplies,Printing,1867.3,2564.25,71,58,S017,696.95,0.27179487179487183
P026,Product 026,Home Appliances,Cleaning,5615.99,8058.43,75,26,S017,2442.4400000000005,0.3030912969399747
P027,Product 027,Home Appliances,Cleaning,3376.64,3927.78,115,42,S001,551.1400000000003,0.14031844960766648
P028,Product 028,Office Supplies,Printing,1287.42,1732.59,51,15,S023,445.16999999999985,0.2569390334701227
P029,Product 029,Industrial,Hardware,6128.71,7630.58,57,33,S005,1501.87,0.1968225220101224
P030,Product 030,Industrial,Safety,5123.21,6989.65,35,42,S009,1866.4399999999996,0.26702910732297036
P031,Product 031,Industrial,Hardware,1614.17,1882.62,39,45,S019,268.4499999999998,0.1425938320000849
P032,Product 032,Home Appliances,Small Appliances,6504.58,8387.44,90,50,S001,1882.8600000000006,0.22448565950993396
P033,Product 033,Home Appliances,Kitchen,5454.17,7876.29,69,32,S010,2422.12,0.3075204188774156
P034,Product 034,Office Supplies,Storage,5330.87,7873.1,79,58,S002,2542.2300000000005,0.32290076335877865
P035,Product 035,Electronics,Networking,7193.14,10862.84,28,50,S003,3669.7,0.337821416867044
P036,Product 036,Office Supplies,Storage,6872.15,9014.91,52,33,S020,2142.76,0.23769067023409
P037,Product 037,Office Supplies,Stationery,1418.79,2141.55,103,44,S016,722.7600000000002,0.33749387126146957
P038,Product 038,Electronics,Computer Parts,7793.26,9847.32,101,11,S022,2054.0599999999995,0.20859076378141458
P039,Product 039,Office Supplies,Stationery,1910.51,2741.34,52,23,S021,830.8300000000002,0.3030744088657372
P040,Product 040,Industrial,Hardware,5809.38,7396.64,67,21,S019,1587.2600000000002,0.21459203097622706
P041,Product 041,Furniture,Seating,7152.57,10031.16,117,30,S001,2878.59,0.2869648176282703
P042,Product 042,Industrial,Hardware,4016.26,4932.36,80,57,S019,916.0999999999995,0.18573259048406837
P043,Product 043,Industrial,Hardware,6183.15,7218.47,63,37,S014,1035.3200000000006,0.1434265155912542
P044,Product 044,Furniture,Storage Furniture,3055.75,3533.01,43,38,S017,477.2600000000002,0.13508594654416495
P045,Product 045,Furniture,Seating,7714.42,11503.77,82,30,S023,3789.3500000000004,0.3294007095065357
P046,Product 046,Electronics,Computer Parts,1480.52,2032.34,114,12,S008,551.8199999999999,0.2715195292126317
P047,Product 047,Home Appliances,Small Appliances,7921.92,9554.1,46,51,S002,1632.1800000000003,0.17083555750934157
P048,Product 048,Home Appliances,Kitchen,6812.06,8206.14,67,48,S010,1394.079999999999,0.16988255135788558
P049,Product 049,Home Appliances,Small Appliances,2161.22,3014.05,79,16,S025,852.8300000000004,0.2829515104261709
P050,Product 050,Industrial,Tools,1675.05,1973.84,35,23,S012,298.78999999999996,0.15137498480119968
P051,Product 051,Office Supplies,Storage,366.79,506.74,51,32,S022,139.95,0.2761771322571733
P052,Product 052,Office Supplies,Stationery,1367.08,2109.04,41,31,S017,741.96,0.3517998710313697
P053,Product 053,Industrial,Safety,6607.41,8550.49,79,46,S001,1943.08,0.22724779515559926
P054,Product 054,Furniture,Office Furniture,3739.53,5559.97,115,39,S015,1820.44,0.3274190328365081
P055,Product 055,Office Supplies,Storage,1236.07,1487.11,49,28,S017,251.03999999999996,0.16881064615260472
P056,Product 056,Office Supplies,Printing,765.88,888.53,81,32,S009,122.64999999999998,0.13803698243165677
P057,Product 057,Industrial,Tools,606.82,919.99,53,41,S022,313.16999999999996,0.340405873976891
P058,Product 058,Electronics,Accessories,2347.48,3596.21,83,14,S022,1248.73,0.3472350057421563
P059,Product 059,Furniture,Seating,524.57,722.03,70,46,S022,197.45999999999992,0.2734789413182277
P060,Product 060,Electronics,Accessories,1061.17,1239.87,113,55,S020,178.69999999999982,0.14412801342076173
P061,Product 061,Furniture,Storage Furniture,6142.41,9046.33,119,42,S005,2903.92,0.32100531375707053
P062,Product 062,Home Appliances,Cleaning,7600.79,11436.7,71,40,S010,3835.9100000000008,0.3354035692113984
P063,Product 063,Home Appliances,Small Appliances,4099.62,6119.08,88,54,S004,2019.46,0.33002673604528787
P064,Product 064,Home Appliances,Kitchen,6957.51,9772.25,103,33,S012,2814.74,0.28803397375220646
P065,Product 065,Home Appliances,Small Appliances,5199.81,6932.91,70,52,S005,1733.0999999999995,0.24998160945403872
P066,Product 066,Industrial,Hardware,6590.35,9296.31,62,53,S013,2705.959999999999,0.2910789334693012
P067,Product 067,Industrial,Hardware,3111.48,3626.7,54,32,S017,515.2199999999998,0.14206303250889232
P068,Product 068,Home Appliances,Kitchen,6782.27,7862.75,53,50,S007,1080.4799999999996,0.13741757018854722
P069,Product 069,Industrial,Safety,5619.39,7876.01,48,45,S025,2256.62,0.28651817354218695
P070,Product 070,Furniture,Office Furniture,2363.97,2886.35,92,33,S003,522.3800000000001,0.18098290228142813
P071,Product 071,Electronics,Unknown,3389.05,4401.72,115,33,S023,1012.6700000000001,0.2300623392673773
P072,Product 072,Furniture,Office Furniture,5486.78,7933.68,118,50,S017,2446.9000000000005,0.3084192959635378
P073,Product 073,Electronics,Networking,4048.01,5286.08,32,28,S017,1238.0699999999997,0.23421325443428773
P074,Product 074,Industrial,Tools,7257.25,8610.83,90,37,S014,1353.58,0.15719506714219186
P075,Product 075,Industrial,Hardware,4020.25,4757.22,88,44,S012,736.9700000000003,0.15491610646554085
P076,Product 076,Electronics,Computer Parts,1819.91,2781.69,35,48,S013,961.78,0.34575384029133366
P077,Product 077,Furniture,Storage Furniture,7797.85,12073.98,24,44,S023,4276.129999999999,0.35416076554706893
P078,Product 078,Furniture,Seating,5690.78,8749.35,28,19,S012,3058.5700000000006,0.34957682570705256
P079,Product 079,Electronics,Accessories,6732.07,8889.27,59,51,S009,2157.2000000000007,0.24267459532672545
P080,Product 080,Home Appliances,Small Appliances,5694.0,6733.38,56,47,S019,1039.38,0.15436229649893518
P081,Product 081,Furniture,Office Furniture,7060.83,8788.43,90,34,S013,1727.6000000000004,0.1965766354172475
P082,Product 082,Industrial,Safety,5709.22,7665.58,73,48,S010,1956.3599999999997,0.2552135650531336
P083,Product 083,Home Appliances,Small Appliances,1022.9,1377.9,32,59,S020,355.0000000000001,0.2576384353000944
P084,Product 084,Industrial,Tools,6608.9,9567.6,22,22,S025,2958.7000000000007,0.3092416070905975
P085,Product 085,Industrial,Tools,800.7,1090.03,25,53,S013,289.3299999999999,0.26543306147537216
P086,Product 086,Furniture,Office Furniture,2683.09,3132.13,104,20,S005,449.03999999999996,0.1433656968261215
P087,Product 087,Industrial,Hardware,5608.98,6619.57,66,50,S017,1010.5900000000001,0.1526670161354892
P088,Product 088,Electronics,Accessories,5620.86,7327.81,106,20,S012,1706.9500000000007,0.23294135628516577
P089,Product 089,Home Appliances,Cleaning,3726.91,5210.42,27,37,S004,1483.5100000000002,0.2847198498393604
P090,Product 090,Home Appliances,Cleaning,1950.75,2450.87,60,45,S022,500.1199999999999,0.20405815077911105
P091,Product 091,Electronics,Accessories,2579.79,3806.53,111,57,S013,1226.7400000000002,0.3222725159134435
P092,Product 092,Office Supplies,Stationery,7533.17,9918.59,88,56,S025,2385.42,0.24049990976540012
P093,Product 093,Home Appliances,Cleaning,7471.92,11181.17,24,42,S022,3709.25,0.331740774892073
P094,Product 094,Electronics,Networking,7900.12,9560.46,104,35,S025,1660.3399999999992,0.17366737583756423
P095,Product 095,Office Supplies,Storage,4617.29,5427.18,118,10,S021,809.8900000000003,0.14922851278196048
P096,Product 096,Industrial,Tools,4344.62,6299.54,22,32,S005,1954.92,0.31032742073230746
P097,Product 097,Furniture,Office Furniture,6093.09,7927.96,104,23,S009,1834.87,0.23144289325375
P098,Product 098,Electronics,Computer Parts,2306.64,2843.84,84,58,S008,537.2000000000003,0.18889951614718137
P099,Product 099,Home Appliances,Small Appliances,1041.43,1477.4,53,12,S018,435.97,0.2950927304724516
P100,Product 100,Industrial,Tools,4482.47,6160.6,113,26,S016,1678.13,0.27239716910690515
