inventory_id,product_id,warehouse,inventory_date,opening_stock,units_received,units_sold,closing_stock,damaged_units,stockout_flag,average_stock
I00108,P008,WH-South,2025-02-01,80,140,174,42,4,0,61.0
I00109,P009,WH-South,2025-02-01,240,108,76,272,0,0,256.0
I00110,P010,WH-North,2025-02-01,67,94,88,72,1,1,69.5
I00111,P011,WH-South,2025-02-01,192,137,141,188,0,0,190.0
I00112,P012,WH-West,2025-02-01,52,64,152,0,1,1,26.0
I00113,P013,WH-North,2025-02-01,148,162,133,175,2,0,161.5
I00114,P014,WH-South,2025-02-01,94,95,148,40,1,1,67.0
I00115,P015,WH-West,2025-02-01,130,71,154,47,0,0,88.5
I00116,P016,WH-East,2025-02-01,174,63,49,187,1,0,180.5
I00117,P017,WH-North,2025-02-01,228,157,82,302,1,0,265.0
I00118,P018,WH-South,2025-02-01,121,8,100,29,0,1,75.0
I00119,P019,WH-North,2025-02-01,212,88,25,274,1,0,243.0
I00120,P020,WH-North,2025-02-01,74,1,52,21,2,1,47.5
I00121,P021,WH-North,2025-02-01,94,73,53,114,0,0,104.0
I00122,P022,WH-East,2025-02-01,38,27,110,0,0,1,19.0
I00123,P023,WH-West,2025-02-01,207,137,83,259,2,0,233.0
I00124,P024,WH-East,2025-02-01,221,127,176,171,1,0,196.0
I00125,P025,WH-North,2025-02-01,244,44,122,166,0,0,205.0
I00126,P026,WH-East,2025-02-01,121,131,96,155,1,0,138.0
I00127,P027,WH-North,2025-02-01,166,1,8,159,0,0,162.5
I00128,P028,WH-East,2025-02-01,37,103,164,0,1,1,18.5
I00129,P029,WH-South,2025-02-01,227,160,38,348,1,0,287.5
I00130,P030,WH-East,2025-02-01,66,140,56,149,1,0,107.5
I00131,P031,WH-East,2025-02-01,125,97,135,86,1,0,105.5
I00132,P032,WH-West,2025-02-01,146,68,130,84,0,1,115.0
I00133,P033,WH-East,2025-02-01,63,127,42,146,2,0,104.5
I00134,P034,WH-South,2025-02-01,110,125,19,216,0,0,163.0
I00135,P035,WH-East,2025-02-01,201,62,66,195,2,0,198.0
I00136,P036,WH-South,2025-02-01,90,23,42,69,2,0,79.5
I00137,P037,WH-South,2025-02-01,221,21,165,76,1,1,148.5
I00138,P038,WH-South,2025-02-01,124,169,89,204,0,0,164.0
I00139,P039,WH-East,2025-02-01,32,53,144,0,1,1,16.0
I00140,P040,WH-North,2025-02-01,28,12,26,13,1,1,20.5
I00141,P041,WH-North,2025-02-01,146,168,11,302,1,0,224.0
I00142,P042,WH-West,2025-02-01,140,78,145,70,3,1,105.0
I00143,P043,WH-East,2025-02-01,254,22,41,235,0,0,244.5
I00144,P044,WH-South,2025-02-01,255,145,72,328,0,0,291.5
I00145,P045,WH-South,2025-02-01,195,19,76,138,0,0,166.5
I00146,P046,WH-East,2025-02-01,26,49,57,17,1,1,21.5
I00147,P047,WH-East,2025-02-01,223,135,36,321,1,0,272.0
I00148,P048,WH-East,2025-02-01,173,50,37,185,1,0,179.0
I00149,P049,WH-East,2025-02-01,229,103,149,180,3,0,204.5
I00150,P050,WH-South,2025-02-01,180,31,153,55,3,0,117.5
I00151,P051,WH-West,2025-02-01,85,176,75,185,1,0,135.0
I00152,P052,WH-South,2025-02-01,218,163,78,302,1,0,260.0
I00153,P053,WH-North,2025-02-01,113,108,108,111,2,0,112.0
I00154,P054,WH-West,2025-02-01,232,5,66,170,1,0,201.0
I00155,P055,WH-North,2025-02-01,102,122,169,55,0,0,78.5
I00156,P056,WH-East,2025-02-01,88,134,46,175,1,0,131.5
I00157,P057,WH-North,2025-02-01,110,32,30,110,2,0,110.0
I00158,P058,WH-West,2025-02-01,21,78,48,49,2,1,35.0
I00159,P059,WH-East,2025-02-01,65,177,71,171,0,0,118.0
I00160,P060,WH-East,2025-02-01,64,24,169,0,1,1,32.0
I00161,P061,WH-East,2025-02-01,64,111,150,24,1,1,44.0
I00162,P062,WH-North,2025-02-01,29,116,12,133,0,0,81.0
I00163,P063,WH-West,2025-02-01,31,95,134,0,2,1,15.5
I00164,P064,WH-North,2025-02-01,21,26,158,0,0,1,10.5
I00165,P065,WH-West,2025-02-01,212,94,172,131,3,0,171.5
I00166,P066,WH-South,2025-02-01,268,71,56,281,2,0,274.5
I00167,P067,WH-South,2025-02-01,211,98,39,269,1,0,240.0
I00168,P068,WH-West,2025-02-01,107,9,55,61,0,0,84.0
I00169,P069,WH-South,2025-02-01,256,63,37,282,0,0,269.0
I00170,P070,WH-South,2025-02-01,196,107,131,172,0,0,184.0
I00171,P071,WH-East,2025-02-01,285,30,29,285,1,0,285.0
I00172,P072,WH-East,2025-02-01,150,54,52,150,2,0,150.0
I00173,P073,WH-West,2025-02-01,132,114,64,182,0,0,157.0
I00174,P074,WH-West,2025-02-01,33,136,89,79,1,1,56.0
I00175,P075,WH-East,2025-02-01,179,7,40,143,3,0,161.0
I00176,P076,WH-South,2025-02-01,53,148,13,187,1,0,120.0
I00177,P077,WH-North,2025-02-01,44,114,95,62,1,0,53.0
I00178,P078,WH-South,2025-02-01,244,20,93,170,1,0,207.0
I00179,P079,WH-East,2025-02-01,80,13,92,0,3,1,40.0
I00180,P080,WH-South,2025-02-01,293,172,27,437,1,0,365.0
I00181,P081,WH-South,2025-02-01,149,149,119,178,1,0,163.5
I00182,P082,WH-South,2025-02-01,175,62,21,214,2,0,194.5
I00183,P083,WH-East,2025-02-01,206,114,6,313,1,0,259.5
I00184,P084,WH-South,2025-02-01,127,115,113,128,1,0,127.5
I00185,P085,WH-West,2025-02-01,162,145,81,223,3,0,192.5
I00186,P086,WH-South,2025-02-01,167,25,167,23,2,1,95.0
I00187,P087,WH-West,2025-02-01,293,171,139,324,1,0,308.5
I00188,P088,WH-North,2025-02-01,258,112,48,319,3,0,288.5
I00189,P089,WH-East,2025-02-01,268,121,19,370,0,0,319.0
I00190,P090,WH-East,2025-02-01,192,119,49,260,2,0,226.0
I00191,P091,WH-North,2025-02-01,39,145,120,64,0,1,51.5
I00192,P092,WH-West,2025-02-01,295,169,83,380,1,0,337.5
I00193,P093,WH-South,2025-02-01,287,52,102,236,1,0,261.5
I00194,P094,WH-South,2025-02-01,299,108,65,342,0,0,320.5
I00195,P095,WH-North,2025-02-01,97,69,177,0,0,1,48.5
I00196,P096,WH-West,2025-02-01,171,59,171,59,0,0,115.0
I00197,P097,WH-West,2025-02-01,277,100,168,209,0,0,243.0
I00198,P098,WH-South,2025-02-01,217,80,98,196,3,0,206.5
I00199,P099,WH-South,2025-02-01,173,30,12,189,2,0,181.0
I00200,P100,WH-North,2025-02-01,157,167,112,211,1,0,184.0
I00201,P001,WH-East,2025-03-01,174,146,61,259,0,0,216.5
I00202,P002,WH-North,2025-03-01,242,109,169,180,2,0,211.0
I00203,P003,WH-East,2025-03-01,168,28,111,84,1,0,126.0
I00204,P004,WH-East,2025-03-01,270,87,68,288,1,0,279.0
I00205,P005,WH-East,2025-03-01,73,58,132,0,3,1,36.5
I00206,P006,WH-South,2025-03-01,199,38,81,155,1,0,177.0
I00207,P007,WH-West,2025-03-01,183,179,48,313,1,0,248.0
I00208,P008,WH-East,2025-03-01,200,146,48,297,1,0,248.5
I00209,P009,WH-East,2025-03-01,130,6,46,88,2,0,109.0
I00210,P010,WH-East,2025-03-01,277,76,50,303,0,0,290.0
I00211,P011,WH-East,2025-03-01,160,59,59,159,1,0,159.5
I00212,P012,WH-North,2025-03-01,232,85,137,179,1,0,205.5
I00213,P013,WH-East,2025-03-01,184,95,7,271,1,0,227.5
I00214,P014,WH-North,2025-03-01,261,41,170,132,0,0,196.5
I00215,P015,WH-East,2025-03-01,285,139,51,373,0,0,329.0
I00216,P016,WH-East,2025-03-01,136,9,133,10,2,1,73.0
I00217,P017,WH-West,2025-03-01,138,118,143,112,1,0,125.0
I00218,P018,WH-North,2025-03-01,247,85,14,317,1,0,282.0
I00219,P019,WH-North,2025-03-01,259,123,80,301,1,0,280.0
I00220,P020,WH-East,2025-03-01,184,81,27,237,1,0,210.5
I00221,P021,WH-West,2025-03-01,38,142,121,57,2,0,47.5
I00222,P022,WH-West,2025-03-01,89,5,80,13,1,1,51.0
I00223,P023,WH-East,2025-03-01,89,114,105,97,1,0,93.0
I00224,P024,WH-West,2025-03-01,102,6,65,43,0,1,72.5
I00225,P025,WH-West,2025-03-01,232,98,57,272,1,0,252.0
I00226,P026,WH-East,2025-03-01,47,45,127,0,0,1,23.5
I00227,P027,WH-South,2025-03-01,268,166,88,345,1,0,306.5
I00228,P028,WH-West,2025-03-01,88,40,54,74,0,0,81.0
I00229,P029,WH-North,2025-03-01,219,90,74,235,0,0,227.0
I00230,P030,WH-East,2025-03-01,231,147,109,269,0,0,250.0
I00231,P031,WH-South,2025-03-01,143,177,78,242,0,0,192.5
I00232,P032,WH-South,2025-03-01,182,63,169,76,0,1,129.0
I00233,P033,WH-West,2025-03-01,174,72,7,239,0,0,206.5
I00234,P034,WH-South,2025-03-01,245,29,20,254,0,0,249.5
I00235,P035,WH-East,2025-03-01,235,99,28,304,2,0,269.5
I00236,P036,WH-East,2025-03-01,120,45,52,111,2,0,115.5
I00237,P037,WH-North,2025-03-01,74,161,69,166,0,0,120.0
I00238,P038,WH-West,2025-03-01,53,58,67,43,1,1,48.0
I00239,P039,WH-South,2025-03-01,41,55,10,82,4,0,61.5
I00240,P040,WH-West,2025-03-01,248,58,72,233,1,0,240.5
I00241,P041,WH-East,2025-03-01,264,67,158,173,0,0,218.5
I00242,P042,WH-South,2025-03-01,152,165,120,197,0,0,174.5
I00243,P043,WH-North,2025-03-01,294,117,69,341,1,0,317.5
I00244,P044,WH-West,2025-03-01,166,65,70,161,0,0,163.5
I00245,P045,WH-West,2025-03-01,146,50,131,64,1,1,105.0
I00246,P046,WH-South,2025-03-01,249,97,158,188,0,0,218.5
I00247,P047,WH-South,2025-03-01,224,170,52,342,0,0,283.0
I00248,P048,WH-South,2025-03-01,52,80,103,27,2,1,39.5
I00249,P049,WH-West,2025-03-01,109,125,164,69,1,1,89.0
I00250,P050,WH-West,2025-03-01,216,98,74,239,1,0,227.5
I00251,P051,WH-East,2025-03-01,25,141,123,40,3,1,32.5
I00252,P052,WH-South,2025-03-01,186,168,28,325,1,0,255.5
I00253,P053,WH-East,2025-03-01,114,153,33,233,1,0,173.5
I00254,P054,WH-North,2025-03-01,273,110,78,303,2,0,288.0
I00255,P055,WH-East,2025-03-01,137,18,58,97,0,0,117.0
I00256,P056,WH-East,2025-03-01,230,94,37,285,2,0,257.5
I00257,P057,WH-West,2025-03-01,109,145,69,183,2,0,146.0
I00258,P058,WH-South,2025-03-01,105,35,118,22,0,1,63.5
I00259,P059,WH-South,2025-03-01,258,36,137,155,2,0,206.5
I00260,P060,WH-North,2025-03-01,162,36,31,166,1,0,164.0
I00261,P061,WH-West,2025-03-01,219,134,33,320,0,0,269.5
I00262,P062,WH-North,2025-03-01,114,164,100,177,1,0,145.5
I00263,P063,WH-North,2025-03-01,286,22,166,141,1,0,213.5
I00264,P064,WH-South,2025-03-01,132,60,136,56,0,1,94.0
I00265,P065,WH-North,2025-03-01,258,106,107,255,2,0,256.5
I00266,P066,WH-South,2025-03-01,85,134,129,90,0,0,87.5
I00267,P067,WH-East,2025-03-01,201,147,9,339,0,0,270.0
I00268,P068,WH-West,2025-03-01,133,26,8,149,2,0,141.0
I00269,P069,WH-East,2025-03-01,238,85,174,148,1,0,193.0
I00270,P070,WH-East,2025-03-01,294,115,98,310,1,0,302.0
I00271,P071,WH-North,2025-03-01,190,94,153,128,3,0,159.0
I00272,P072,WH-South,2025-03-01,252,161,40,372,1,0,312.0
I00273,P073,WH-West,2025-03-01,60,161,157,64,0,0,62.0
I00274,P074,WH-South,2025-03-01,270,21,125,166,0,0,218.0
I00275,P075,WH-East,2025-03-01,259,172,73,357,1,0,308.0
I00276,P076,WH-North,2025-03-01,286,155,9,430,2,0,358.0
I00277,P077,WH-West,2025-03-01,109,28,40,97,0,0,103.0
I00278,P078,WH-North,2025-03-01,291,42,73,259,1,0,275.0
I00279,P079,WH-North,2025-03-01,96,7,58,44,1,1,70.0
I00280,P080,WH-West,2025-03-01,284,70,34,320,0,0,302.0
I00281,P081,WH-West,2025-03-01,114,64,34,143,1,0,128.5
I00282,P082,WH-South,2025-03-01,264,74,110,228,0,0,246.0
I00283,P083,WH-North,2025-03-01,223,60,101,182,0,0,202.5
I00284,P084,WH-East,2025-03-01,56,89,149,0,0,1,28.0
I00285,P085,WH-East,2025-03-01,69,122,75,116,0,0,92.5
I00286,P086,WH-North,2025-03-01,179,114,52,240,1,0,209.5
I00287,P087,WH-East,2025-03-01,208,56,165,99,0,0,153.5
I00288,P088,WH-West,2025-03-01,196,163,58,301,0,0,248.5
I00289,P089,WH-South,2025-03-01,93,43,37,97,2,0,95.0
I00290,P090,WH-East,2025-03-01,63,50,103,9,1,1,36.0
I00291,P091,WH-East,2025-03-01,154,128,145,133,4,0,143.5
I00292,P092,WH-South,2025-03-01,133,83,179,34,3,1,83.5
I00293,P093,WH-East,2025-03-01,69,174,176,65,2,0,67.0
I00294,P094,WH-North,2025-03-01,164,144,171,135,2,0,149.5
I00295,P095,WH-East,2025-03-01,34,128,62,100,0,1,67.0
I00296,P096,WH-West,2025-03-01,152,61,131,80,2,0,116.0
I00297,P097,WH-South,2025-03-01,90,45,94,40,1,1,65.0
I00298,P098,WH-South,2025-03-01,103,168,155,116,0,0,109.5
I00299,P099,WH-South,2025-03-01,101,32,93,40,0,1,70.5
I00300,P100,WH-East,2025-03-01,69,178,23,224,0,0,146.5
I00301,P001,WH-North,2025-04-01,176,107,48,234,1,0,205.0
I00302,P002,WH-South,2025-04-01,47,108,166,0,0,1,23.5
I00303,P003,WH-South,2025-04-01,277,113,21,369,0,0,323.0
I00304,P004,WH-East,2025-04-01,199,15,165,48,1,1,123.5
I00305,P005,WH-East,2025-04-01,229,51,66,214,0,0,221.5
I00306,P006,WH-West,2025-04-01,30,85,135,0,0,1,15.0
I00307,P007,WH-West,2025-04-01,85,16,135,0,1,1,42.5
I00308,P008,WH-West,2025-04-01,95,62,55,101,1,0,98.0
I00309,P009,WH-North,2025-04-01,228,131,179,179,1,0,203.5
I00310,P010,WH-North,2025-04-01,265,38,149,153,1,0,209.0
I00311,P011,WH-North,2025-04-01,175,15,138,50,2,1,112.5
I00312,P012,WH-North,2025-04-01,58,144,50,152,0,0,105.0
I00313,P013,WH-East,2025-04-01,39,86,137,0,2,1,19.5
I00314,P014,WH-West,2025-04-01,287,80,162,203,2,0,245.0
I00315,P015,WH-North,2025-04-01,21,124,121,23,1,1,22.0
I00316,P016,WH-South,2025-04-01,235,48,63,220,0,0,227.5
I00317,P017,WH-East,2025-04-01,138,173,104,205,2,0,171.5
I00318,P018,WH-North,2025-04-01,179,65,89,154,1,0,166.5
I00319,P019,WH-West,2025-04-01,298,130,58,370,0,0,334.0
I00320,P020,WH-South,2025-04-01,63,147,149,60,1,1,61.5
I00321,P021,WH-West,2025-04-01,224,132,84,272,0,0,248.0
I00322,P022,WH-South,2025-04-01,239,45,76,208,0,0,223.5
I00323,P023,WH-West,2025-04-01,62,78,81,55,4,1,58.5
I00324,P024,WH-North,2025-04-01,232,62,28,265,1,0,248.5
I00325,P025,WH-South,2025-04-01,20,72,25,67,0,1,43.5
I00326,P026,WH-South,2025-04-01,71,65,119,17,0,1,44.0
I00327,P027,WH-East,2025-04-01,38,1,59,0,0,1,19.0
I00328,P028,WH-East,2025-04-01,163,84,31,216,0,0,189.5
I00329,P029,WH-North,2025-04-01,262,148,47,362,1,0,312.0
I00330,P030,WH-South,2025-04-01,58,147,69,135,1,0,96.5
I00331,P031,WH-East,2025-04-01,40,9,49,0,0,1,20.0
I00332,P032,WH-North,2025-04-01,199,40,125,113,1,0,156.0
I00333,P033,WH-North,2025-04-01,284,173,148,309,0,0,296.5
I00334,P034,WH-South,2025-04-01,66,155,32,188,1,0,127.0
I00335,P035,WH-West,2025-04-01,158,28,61,125,0,0,141.5
I00336,P036,WH-North,2025-04-01,138,58,39,156,1,0,147.0
I00337,P037,WH-South,2025-04-01,77,1,32,46,0,1,61.5
I00338,P038,WH-West,2025-04-01,82,179,64,196,1,0,139.0
I00339,P039,WH-South,2025-04-01,229,115,47,297,0,0,263.0
I00340,P040,WH-North,2025-04-01,222,177,20,375,4,0,298.5
I00341,P041,WH-North,2025-04-01,90,2,93,0,0,1,45.0
I00342,P042,WH-West,2025-04-01,179,132,122,188,1,0,183.5
I00343,P043,WH-East,2025-04-01,178,149,63,264,0,0,221.0
I00344,P044,WH-North,2025-04-01,50,69,80,39,0,1,44.5
I00345,P045,WH-East,2025-04-01,24,3,147,0,0,1,12.0
I00346,P046,WH-East,2025-04-01,155,15,28,141,1,0,148.0
I00347,P047,WH-North,2025-04-01,201,68,64,205,0,0,203.0
I00348,P048,WH-West,2025-04-01,73,136,166,41,2,1,57.0
I00349,P049,WH-East,2025-04-01,212,143,74,281,0,0,246.5
I00350,P050,WH-South,2025-04-01,124,130,25,229,0,0,176.5
I00351,P051,WH-North,2025-04-01,297,141,93,342,3,0,319.5
I00352,P052,WH-West,2025-04-01,78,136,106,107,1,0,92.5
I00353,P053,WH-South,2025-04-01,104,177,28,252,1,0,178.0
I00354,P054,WH-South,2025-04-01,145,48,140,52,1,1,98.5
I00355,P055,WH-North,2025-04-01,25,39,85,0,1,1,12.5
I00356,P056,WH-South,2025-04-01,164,50,6,206,2,0,185.0
I00357,P057,WH-North,2025-04-01,247,143,87,303,0,0,275.0
I00358,P058,WH-South,2025-04-01,64,179,179,64,0,1,64.0
I00359,P059,WH-West,2025-04-01,54,84,92,46,0,1,50.0
I00360,P060,WH-East,2025-04-01,228,28,22,234,0,0,231.0
I00361,P061,WH-North,2025-04-01,189,145,20,313,1,0,251.0
I00362,P062,WH-West,2025-04-01,62,170,95,135,2,0,98.5
I00363,P063,WH-South,2025-04-01,70,26,13,81,2,1,75.5
I00364,P064,WH-South,2025-04-01,271,56,179,147,1,0,209.0
I00365,P065,WH-East,2025-04-01,87,50,62,73,2,0,80.0
I00366,P066,WH-South,2025-04-01,95,46,147,0,2,1,47.5
I00367,P067,WH-East,2025-04-01,225,71,125,169,2,0,197.0
I00368,P068,WH-West,2025-04-01,21,78,44,55,0,0,38.0
I00369,P069,WH-North,2025-04-01,76,11,72,15,0,1,45.5
I00370,P070,WH-East,2025-04-01,111,28,87,51,1,1,81.0
I00371,P071,WH-South,2025-04-01,275,140,102,313,0,0,294.0
I00372,P072,WH-East,2025-04-01,78,119,40,155,2,0,116.5
I00373,P073,WH-South,2025-04-01,202,59,135,125,1,0,163.5
I00374,P074,WH-East,2025-04-01,178,60,53,185,0,0,181.5
I00375,P075,WH-North,2025-04-01,231,138,108,261,0,0,246.0
I00376,P076,WH-West,2025-04-01,47,81,78,49,1,0,48.0
I00377,P077,WH-South,2025-04-01,242,130,133,238,1,0,240.0
I00378,P078,WH-North,2025-04-01,155,145,34,266,0,0,210.5
I00379,P079,WH-West,2025-04-01,28,21,142,0,1,1,14.0
I00380,P080,WH-East,2025-04-01,228,8,51,183,2,0,205.5
I00381,P081,WH-West,2025-04-01,21,172,87,106,0,0,63.5
I00382,P082,WH-East,2025-04-01,274,153,123,302,2,0,288.0
I00383,P083,WH-South,2025-04-01,227,91,82,236,0,0,231.5
I00384,P084,WH-South,2025-04-01,295,163,117,339,2,0,317.0
I00385,P085,WH-West,2025-04-01,272,172,52,390,2,0,331.0
I00386,P086,WH-North,2025-04-01,117,108,160,61,4,1,89.0
I00387,P087,WH-North,2025-04-01,22,22,111,0,0,1,11.0
I00388,P088,WH-South,2025-04-01,254,64,43,275,0,0,264.5
I00389,P089,WH-North,2025-04-01,130,17,29,116,2,0,123.0
I00390,P090,WH-South,2025-04-01,156,168,99,224,1,0,190.0
I00391,P091,WH-East,2025-04-01,213,172,24,360,1,0,286.5
I00392,P092,WH-North,2025-04-01,159,123,68,214,0,0,186.5
I00393,P093,WH-West,2025-04-01,139,43,161,19,2,1,79.0
I00394,P094,WH-North,2025-04-01,32,49,134,0,1,1,16.0
I00395,P095,WH-North,2025-04-01,247,17,70,194,0,0,220.5
I00396,P096,WH-South,2025-04-01,180,98,37,239,2,0,209.5
