procurement_id,po_date,supplier_id,product_id,warehouse,quantity_ordered,quantity_received,unit_cost,procurement_cost,expected_delivery_date,actual_delivery_date
PO00033,2026-06-09,S017,P025,WH-East,429,400,1867.3,746920.0,2026-06-22,2026-06-23
PO00034,2025-11-23,S010,P062,WH-West,152,147,7600.79,1117316.13,2025-12-05,Unknown
PO00035,2026-03-26,S008,P013,WH-North,411,411,272.75,112100.25,2026-04-07,2026-04-12
PO00036,2025-03-03,S025,P094,WH-East,166,166,7900.12,1311419.92,2025-03-17,2025-03-24
PO00037,2025-07-20,S020,P083,WH-North,248,211,1022.9,215831.9,2025-07-30,2025-08-04
PO00038,2025-03-11,S015,P024,WH-West,431,431,3955.92,1705001.52,2025-04-02,2025-04-01
PO00039,2026-05-12,S009,P097,WH-North,215,183,6093.09,1115035.47,2026-05-22,2026-05-23
PO00040,2025-07-27,S022,P059,WH-South,103,102,524.57,53506.14,2025-08-12,2025-08-09
PO00041,2026-04-10,S023,P077,WH-North,69,65,7797.85,506860.25,2026-04-30,2026-05-03
PO00042,2026-04-23,S021,P095,WH-South,361,345,4617.29,1592965.05,2026-05-13,2026-05-11
PO00043,2026-04-01,S022,P038,WH-East,351,330,7793.26,2571775.8,2026-04-09,2026-04-15
PO00044,2025-05-11,S003,P008,WH-East,468,465,5513.62,2563833.3,2025-06-02,2025-06-08
PO00045,2026-04-18,S022,P058,WH-West,283,268,2347.48,629124.64,2026-05-05,2026-05-07
PO00046,2025-10-04,S009,P030,WH-North,463,458,5123.21,2346430.18,2025-10-11,2025-10-17
PO00047,2025-02-23,S013,P019,WH-South,461,392,4142.28,1623773.76,2025-03-11,2025-03-19
PO00048,2026-01-25,S005,P096,WH-South,430,427,4344.62,1855152.74,2026-02-18,2026-02-20
PO00049,2025-08-03,S009,P030,WH-West,232,232,5123.21,1188584.72,2025-08-26,2025-08-29
PO00050,2025-01-11,S017,P055,WH-North,128,122,1236.07,150800.54,2025-01-20,2025-01-19
PO00051,2026-03-30,S008,P046,WH-South,52,52,1480.52,76987.04,2026-04-22,2026-04-26
PO00052,2026-02-15,S022,P038,WH-West,121,105,7793.26,818292.3,2026-03-10,2026-03-11
PO00053,2025-04-19,S007,P017,WH-West,193,190,5748.97,1092304.3,2025-05-05,2025-05-11
PO00054,2025-01-27,S008,P098,WH-North,440,376,2306.64,867296.64,2025-02-05,Unknown
PO00055,2026-02-20,S019,P080,WH-North,256,236,5694.0,1343784.0,2026-02-26,2026-03-05
PO00056,2025-12-15,S022,P059,WH-North,396,377,524.57,197762.89,2026-01-04,2026-01-12
PO00057,2025-10-16,S016,P037,WH-South,472,449,1418.79,637036.71,2025-10-24,2025-10-29
PO00058,2026-06-01,S017,P055,WH-West,146,139,1236.07,171813.73,2026-06-20,2026-06-25
PO00059,2026-05-01,S007,P006,WH-North,418,370,514.64,190416.8,2026-05-15,2026-05-13
PO00060,2025-09-22,S013,P066,WH-East,241,241,6590.35,1588274.35,2025-10-02,2025-09-29
PO00061,2025-08-13,S025,P069,WH-North,214,176,5619.39,989012.64,2025-08-24,2025-08-23
PO00062,2025-12-16,S019,P042,WH-South,431,407,4016.26,1634617.82,2025-12-22,2025-12-28
PO00063,2025-03-30,S020,P083,WH-North,210,209,1022.9,213786.1,2025-04-07,2025-04-11
PO00064,2025-04-13,S005,P065,WH-North,113,113,5199.81,587578.53,2025-05-02,2025-05-02
PO00065,2025-11-26,S004,P089,WH-East,278,268,3726.91,998811.88,2025-12-13,2025-12-14
PO00066,2025-05-05,S019,P080,WH-East,327,306,5694.0,1742364.0,2025-05-18,2025-05-19
PO00067,2025-10-31,S025,P094,WH-South,63,57,7900.12,450306.84,2025-11-09,2025-11-16
PO00068,2025-03-24,S025,P094,WH-North,335,305,7900.12,2409536.6,2025-04-14,2025-04-12
PO00069,2025-09-24,S014,P010,WH-North,77,70,6761.94,473335.8,2025-10-04,2025-10-01
PO00070,2026-02-05,S019,P040,WH-East,114,109,5809.38,633222.42,2026-02-23,2026-02-27
PO00071,2026-01-21,S017,P052,WH-North,161,156,1367.08,213264.48,2026-01-30,2026-02-05
PO00072,2025-12-27,S015,P024,WH-South,409,377,3955.92,1491381.84,2026-01-02,2026-01-10
PO00073,2025-02-26,S022,P059,WH-East,294,285,524.57,149502.45,2025-03-16,2025-03-17
PO00074,2026-01-12,S012,P021,WH-West,465,430,2470.72,1062409.6,2026-02-04,2026-02-02
PO00075,2025-07-06,S017,P052,WH-West,24,20,1367.08,27341.6,2025-07-29,2025-08-01
PO00076,2026-04-24,S009,P079,WH-West,266,263,6732.07,1770534.41,2026-05-11,2026-05-09
PO00077,2025-12-03,S023,P005,WH-West,452,449,3730.15,1674837.35,2025-12-19,2025-12-21
PO00078,2025-04-04,S020,P036,WH-East,454,396,6872.15,2721371.4,2025-04-09,2025-04-14
PO00079,2026-05-02,S007,P022,WH-South,142,139,7083.75,984641.25,2026-05-09,2026-05-09
PO00080,2026-02-02,S003,P008,WH-West,301,278,5513.62,1532786.36,2026-02-16,2026-02-17
PO00081,2026-06-05,S021,P095,WH-West,133,112,4617.29,517136.48,2026-06-17,2026-06-14
PO00082,2026-06-05,S017,P052,WH-North,459,413,1367.08,564604.04,2026-06-22,2026-06-19
PO00083,2025-04-23,S019,P001,WH-South,266,222,1589.96,352971.12,2025-05-16,2025-05-21
PO00084,2025-05-02,S025,P084,WH-West,383,374,6608.9,2471728.6,2025-05-09,2025-05-10
PO00085,2026-01-21,S023,P028,WH-East,37,32,1287.42,41197.44,2026-01-28,2026-02-05
PO00086,2025-12-08,S019,P031,WH-East,192,164,1614.17,264723.88,2025-12-30,2026-01-06
PO00087,2026-04-08,S001,P053,WH-South,247,213,6607.41,1407378.33,2026-04-15,2026-04-14
PO00088,2026-01-17,S015,P024,WH-West,242,209,3955.92,826787.28,2026-02-02,2026-01-31
PO00089,2025-06-05,S023,P045,WH-East,229,219,7714.42,1689457.98,2025-06-11,2025-06-17
PO00090,2025-05-08,S021,P007,WH-North,263,249,7730.21,1924822.29,2025-05-20,2025-05-23
PO00091,2025-02-12,S022,P002,WH-East,28,24,6949.48,166787.52,2025-03-02,2025-03-02
PO00092,2026-01-16,S017,P073,WH-South,365,352,4048.01,1424899.52,2026-02-08,2026-02-07
PO00093,2025-10-02,S004,P063,WH-West,405,360,4099.62,1475863.2,2025-10-17,2025-10-15
PO00094,2026-01-24,S020,P083,WH-South,141,129,1022.9,131954.1,2026-02-13,2026-02-20
PO00095,2025-01-23,S001,P041,WH-East,499,422,7152.57,3018384.54,2025-02-10,2025-02-17
PO00096,2026-01-19,S004,P089,WH-West,317,305,3726.91,1136707.55,2026-01-31,2026-02-07
PO00097,2025-05-09,S003,P023,WH-South,384,344,1939.29,667115.76,2025-06-02,2025-06-08
PO00098,2026-02-15,S012,P050,WH-South,345,327,1675.05,547741.35,2026-03-05,2026-03-11
PO00099,2025-10-08,S014,P074,WH-West,359,325,7257.25,2358606.25,2025-10-24,2025-10-24
PO00100,2025-07-01,S017,P087,WH-North,347,288,5608.98,1615386.24,2025-07-22,2025-07-27
PO00101,2025-08-16,S010,P033,WH-East,128,123,5454.17,670862.91,2025-09-01,2025-09-07
PO00102,2025-03-22,S014,P043,WH-North,343,319,6183.15,1972424.85,2025-04-07,2025-04-10
PO00103,2025-10-08,S020,P083,WH-South,364,330,1022.9,337557.0,2025-10-24,2025-10-21
PO00104,2025-06-23,S017,P055,WH-South,50,43,1236.07,53151.01,2025-07-04,2025-07-03
PO00105,2025-12-25,S022,P051,WH-North,141,133,366.79,48783.07,2026-01-08,2026-01-16
PO00106,2026-01-10,S008,P098,WH-East,294,257,2306.64,592806.48,2026-01-30,2026-01-31
PO00107,2025-02-24,S016,P037,WH-South,90,82,1418.79,116340.78,2025-03-03,2025-03-06
PO00108,2025-11-27,S004,P063,WH-West,194,161,4099.62,660038.82,2025-12-04,2025-12-05
PO00109,2026-01-22,S017,P067,WH-South,312,304,3111.48,945889.92,2026-01-27,2026-02-01
PO00110,2025-05-28,S023,P045,WH-South,369,309,7714.42,2383755.78,2025-06-06,2025-06-09
PO00111,2025-12-09,S023,P071,WH-East,494,493,3389.05,1670801.65,2025-12-21,2025-12-29
PO00112,2025-07-16,S025,P049,WH-West,228,227,2161.22,490596.94,2025-08-06,2025-08-03
PO00113,2025-05-04,S019,P001,WH-North,243,243,1589.96,386360.28,2025-05-24,2025-05-26
PO00114,2025-11-29,S015,P054,WH-North,38,38,3739.53,142102.14,2025-12-19,2025-12-17
PO00115,2026-04-29,S020,P036,WH-East,236,236,6872.15,1621827.4,2026-05-21,2026-05-23
PO00116,2026-03-30,S005,P065,WH-South,112,112,5199.81,582378.72,2026-04-21,2026-04-20
PO00117,2025-12-15,S001,P041,WH-South,428,361,7152.57,2582077.77,2026-01-02,2026-01-10
PO00118,2026-03-29,S025,P094,WH-East,72,65,7900.12,513507.8,2026-04-14,2026-04-12
PO00119,2025-03-20,S012,P050,WH-South,499,417,1675.05,698495.85,2025-04-03,2025-04-02
PO00120,2025-01-08,S005,P096,WH-North,94,87,4344.62,377981.94,2025-01-14,2025-01-21
PO00121,2026-01-08,S025,P049,WH-North,151,140,2161.22,302570.8,2026-01-15,2026-01-21
PO00122,2026-04-02,S020,P083,WH-South,65,65,1022.9,66488.5,2026-04-07,2026-04-07
PO00123,2025-09-27,S002,P047,WH-West,434,434,7921.92,3438113.28,2025-10-10,2025-10-07
PO00124,2026-03-08,S014,P010,WH-East,55,48,6761.94,324573.12,2026-03-16,2026-03-16
PO00125,2025-08-14,S017,P044,WH-West,151,141,3055.75,430860.75,2025-09-03,2025-09-05
PO00126,2025-11-19,S017,P044,WH-East,149,136,3055.75,415582.0,2025-11-27,2025-11-28
PO00127,2026-02-24,S009,P097,WH-South,186,173,6093.09,1054104.57,2026-03-17,2026-03-18
PO00128,2025-12-01,S010,P004,WH-West,262,243,4269.34,1037449.62,2025-12-20,2025-12-25
PO00129,2025-05-02,S012,P064,WH-South,244,244,6957.51,1697632.44,2025-05-10,2025-05-15
PO00130,2026-04-21,S002,P020,WH-South,319,319,1946.07,620796.33,2026-04-29,2026-05-04
PO00131,2025-08-25,S015,P054,WH-East,110,93,3739.53,347776.29,2025-09-10,2025-09-13
PO00132,2026-01-17,S009,P079,WH-East,365,324,6732.07,2181190.68,2026-01-24,2026-01-30
PO00133,2026-02-08,S001,P041,WH-East,422,410,7152.57,2932553.7,2026-03-04,2026-03-09
PO00134,2026-01-24,S009,P030,WH-South,396,379,5123.21,1941696.59,2026-02-02,2026-02-10
PO00135,2026-03-23,S023,P071,WH-West,383,362,3389.05,1226836.1,2026-04-15,2026-04-19
PO00136,2025-07-12,S001,P041,WH-East,316,316,7152.57,2260212.12,2025-07-22,2025-07-26
PO00137,2026-04-06,S010,P082,WH-East,141,125,5709.22,713652.5,2026-04-19,2026-04-20
PO00138,2025-04-20,S025,P094,WH-North,378,349,7900.12,2757141.88,2025-04-27,2025-05-02
PO00139,2025-08-02,S003,P008,WH-South,372,372,5513.62,2051066.64,2025-08-08,2025-08-12
PO00140,2026-04-08,S013,P085,WH-North,313,300,800.7,240210.0,2026-04-22,2026-04-25
PO00141,2026-05-30,S023,P071,WH-East,477,453,3389.05,1535239.65,2026-06-08,2026-06-12
PO00142,2025-01-02,S025,P069,WH-North,212,180,5619.39,1011490.2,2025-01-13,2025-01-18
PO00143,2026-01-31,S001,P032,WH-West,133,116,6504.58,754531.28,2026-02-19,2026-02-22
PO00144,2025-12-10,S019,P080,WH-West,438,392,5694.0,2232048.0,2025-12-16,2025-12-21
PO00145,2025-07-29,S019,P040,WH-North,30,27,5809.38,156853.26,2025-08-12,2025-08-16
PO00146,2025-02-27,S010,P062,WH-West,206,189,7600.79,1436549.31,2025-03-14,2025-03-12
PO00147,2026-04-29,S022,P090,WH-South,97,97,1950.75,189222.75,2026-05-11,2026-05-10
PO00148,2025-04-23,S001,P027,WH-North,89,75,3376.64,253248.0,2025-05-09,2025-05-11
PO00149,2026-04-30,S021,P039,WH-South,318,277,1910.51,529211.27,2026-05-08,2026-05-10
PO00150,2025-03-12,S025,P092,WH-West,123,104,7533.17,783449.68,2025-03-29,2025-04-01
PO00151,2026-04-28,S010,P033,WH-North,364,352,5454.17,1919867.84,2026-05-20,2026-05-18
PO00152,2025-02-14,S013,P066,WH-North,234,234,6590.35,1542141.9,2025-03-08,2025-03-16
PO00153,2026-06-26,S009,P079,WH-East,137,137,6732.07,922293.59,2026-07-03,2026-06-30
PO00154,2025-07-23,S023,P071,WH-South,24,23,3389.05,77948.15,2025-07-30,2025-08-06
PO00155,2026-04-21,S025,P084,WH-East,173,143,6608.9,945072.7,2026-05-02,2026-05-10
PO00156,2025-08-28,S008,P013,WH-East,229,204,272.75,55641.0,2025-09-18,2025-09-19
PO00157,2026-03-19,S005,P096,WH-West,307,305,4344.62,1325109.1,2026-03-29,2026-04-05
PO00158,2025-09-04,S005,P029,WH-South,322,306,6128.71,1875385.26,2025-09-24,2025-09-22
PO00159,2026-03-30,S007,P068,WH-South,459,396,6782.27,2685778.92,2026-04-08,2026-04-13
PO00160,2025-06-03,S020,P083,WH-West,488,446,1022.9,456213.4,2025-06-24,2025-06-23
PO00161,2026-04-11,S014,P010,WH-West,109,91,6761.94,615336.54,2026-04-26,2026-05-04
PO00162,2025-08-13,S016,P100,WH-South,69,64,4482.47,286878.08,2025-08-29,2025-08-27
PO00163,2025-08-30,S013,P076,WH-West,374,374,1819.91,680646.34,2025-09-15,2025-09-23
PO00164,2026-04-02,S022,P058,WH-South,221,183,2347.48,429588.84,2026-04-10,2026-04-18
PO00165,2026-05-07,S005,P086,WH-West,461,435,2683.09,1167144.15,2026-05-20,2026-05-23
PO00166,2026-03-29,S001,P027,WH-East,175,152,3376.64,513249.28,2026-04-16,2026-04-18
PO00167,2026-06-19,S018,P099,WH-West,114,114,1041.43,118723.02,2026-07-05,2026-07-09
PO00168,2026-05-14,S022,P058,WH-North,98,82,2347.48,192493.36,2026-05-28,2026-06-02
PO00169,2025-07-12,S013,P081,WH-West,202,191,7060.83,1348618.53,2025-07-24,2025-07-23
PO00170,2025-06-03,S003,P070,WH-North,333,290,2363.97,685551.3,2025-06-10,2025-06-14
PO00171,2026-04-11,S023,P045,WH-South,187,186,7714.42,1434882.12,2026-04-28,2026-04-28
PO00172,2025-01-15,S012,P050,WH-East,205,173,1675.05,289783.65,2025-02-04,2025-02-02
PO00173,2026-03-26,S010,P048,WH-West,347,314,6812.06,2138986.84,2026-04-12,2026-04-12
PO00174,2025-03-20,S014,P043,WH-South,449,385,6183.15,2380512.75,2025-04-06,2025-04-06
PO00175,2025-01-11,S010,P014,WH-North,349,342,5698.83,1948999.86,2025-02-03,2025-02-07
PO00176,2025-08-27,S009,P097,WH-East,192,171,6093.09,1041918.39,2025-09-18,2025-09-24
PO00177,2025-07-16,S017,P044,WH-South,157,135,3055.75,412526.25,2025-07-28,2025-08-01
PO00178,2025-06-10,S023,P028,WH-South,377,364,1287.42,468620.88,2025-06-15,2025-06-18
PO00179,2026-05-14,S005,P061,WH-South,229,225,6142.41,1382042.25,2026-06-04,2026-06-04
PO00180,2025-06-21,S022,P038,WH-South,323,295,7793.26,2299011.7,2025-07-04,2025-07-02
PO00181,2025-05-15,S023,P071,WH-West,239,214,3389.05,725256.7,2025-05-29,2025-05-26
PO00182,2025-08-14,S012,P075,WH-South,209,198,4020.25,796009.5,2025-08-27,2025-09-03
PO00183,2025-09-26,S010,P033,WH-South,303,288,5454.17,1570800.96,2025-10-12,2025-10-10
PO00184,2025-02-01,S017,P067,WH-West,133,127,3111.48,395157.96,2025-02-15,2025-02-13
PO00185,2025-10-22,S007,P022,WH-North,39,34,7083.75,240847.5,2025-11-03,2025-11-02
PO00186,2025-11-15,S008,P013,WH-East,107,107,272.75,29184.25,2025-11-23,2025-11-29
PO00187,2026-06-16,S022,P093,WH-East,345,298,7471.92,2226632.16,2026-07-04,2026-07-05
PO00188,2026-06-12,S007,P006,WH-West,316,283,514.64,145643.12,2026-06-23,2026-06-20
PO00189,2025-06-07,S012,P064,WH-West,387,339,6957.51,2358595.89,2025-06-21,2025-06-22
PO00190,2025-04-15,S015,P054,WH-North,371,371,3739.53,1387365.63,2025-04-29,2025-05-02
PO00191,2025-12-23,S014,P043,WH-East,281,277,6183.15,1712732.55,2026-01-11,2026-01-19
PO00192,2025-11-30,S017,P055,WH-West,414,407,1236.07,503080.49,2025-12-19,2025-12-16
PO00193,2025-12-28,S023,P028,WH-South,49,40,1287.42,51496.8,2026-01-03,2026-01-03
PO00194,2025-02-18,S022,P058,WH-West,406,389,2347.48,913169.72,2025-03-10,2025-03-17
PO00195,2026-01-11,S001,P015,WH-East,475,411,7332.43,3013628.73,2026-01-25,2026-01-23
PO00196,2026-05-05,S015,P024,WH-North,436,436,3955.92,1724781.12,2026-05-24,2026-05-28
PO00197,2025-05-13,S022,P090,WH-North,73,68,1950.75,132651.0,2025-06-05,2025-06-03
PO00198,2025-10-26,S010,P062,WH-South,194,181,7600.79,1375742.99,2025-11-09,2025-11-06
PO00199,2025-07-16,S005,P065,WH-South,486,433,5199.81,2251517.73,2025-08-09,2025-08-07
PO00200,2025-01-19,S017,P026,WH-East,269,249,5615.99,1398381.51,2025-02-07,2025-02-13
PO00201,2026-01-08,S021,P095,WH-South,29,28,4617.29,129284.12,2026-01-14,2026-01-14
PO00202,2025-06-03,S005,P061,WH-East,294,274,6142.41,1683020.34,2025-06-21,2025-06-22
PO00203,2025-07-13,S017,P087,WH-East,284,269,5608.98,1508815.62,2025-08-01,2025-07-30
PO00204,2026-02-02,S005,P096,WH-West,154,141,4344.62,612591.42,2026-02-16,2026-02-16
PO00205,2026-03-12,S019,P001,WH-South,80,77,1589.96,122426.92,2026-03-25,2026-03-28
PO00206,2026-01-23,S010,P082,WH-West,33,33,5709.22,188404.26,2026-02-15,2026-02-16
PO00207,2025-12-01,S013,P081,WH-West,277,230,7060.83,1623990.9,2025-12-11,2025-12-15
PO00208,2026-02-10,S008,P046,WH-East,425,358,1480.52,530026.16,2026-02-22,2026-02-28
PO00209,2026-01-03,S025,P092,WH-East,463,443,7533.17,3337194.31,2026-01-09,2026-01-14
PO00210,2026-05-05,S019,P001,WH-East,320,287,1589.96,456318.52,2026-05-10,2026-05-07
PO00211,2026-03-24,S022,P051,WH-East,295,259,366.79,94998.61,2026-04-10,2026-04-07
PO00212,2026-05-24,S020,P036,WH-West,45,39,6872.15,268013.85,2026-06-03,2026-06-02
PO00213,2026-06-12,S025,P069,WH-North,462,432,5619.39,2427576.48,2026-06-19,2026-06-23
PO00214,2025-04-10,S025,P069,WH-North,471,419,5619.39,2354524.41,2025-04-16,2025-04-13
PO00215,2026-05-12,S013,P066,WH-North,58,53,6590.35,349288.55,2026-05-26,2026-06-01
PO00216,2026-05-08,S012,P075,WH-East,265,265,4020.25,1065366.25,2026-05-20,2026-05-18
PO00217,2026-03-15,S018,P099,WH-South,170,165,1041.43,171835.95,2026-03-28,2026-03-25
PO00218,2025-10-05,S009,P030,WH-North,227,222,5123.21,1137352.62,2025-10-16,2025-10-13
PO00219,2026-01-13,S005,P096,WH-West,172,145,4344.62,629969.9,2026-01-30,2026-02-07
PO00220,2025-10-15,S003,P008,WH-West,135,119,5513.62,656120.78,2025-10-26,2025-10-31
PO00221,2026-03-04,S022,P002,WH-East,220,185,6949.48,1285653.8,2026-03-27,2026-04-04
PO00222,2025-11-25,S016,P100,WH-West,200,200,4482.47,896494.0,2025-11-30,2025-12-06
PO00223,2025-02-02,S017,P025,WH-West,400,383,1867.3,715175.9,2025-02-19,2025-02-16
PO00224,2025-04-30,S013,P019,WH-North,414,341,4142.28,1412517.48,2025-05-21,2025-05-21
PO00225,2025-04-07,S023,P071,WH-North,300,275,3389.05,931988.75,2025-04-23,2025-04-26
PO00226,2026-01-21,S010,P014,WH-West,434,379,5698.83,2159856.57,2026-02-08,2026-02-16
PO00227,2025-01-14,S010,P004,WH-North,193,179,4269.34,764211.86,2025-02-03,2025-02-04
PO00228,2025-11-13,S008,P046,WH-West,174,149,1480.52,220597.48,2025-11-29,2025-12-05
PO00229,2025-11-17,S010,P033,WH-West,375,312,5454.17,1701701.04,2025-12-07,2025-12-08
PO00230,2025-03-27,S016,P037,WH-North,338,299,1418.79,424218.21,2025-04-02,2025-04-05
PO00231,2026-06-26,S009,P030,WH-East,134,118,5123.21,604538.78,2026-07-20,2026-07-22
PO00232,2025-10-10,S025,P084,WH-North,322,310,6608.9,2048759.0,2025-11-02,2025-11-04
PO00233,2025-03-05,S012,P078,WH-East,161,147,5690.78,836544.66,2025-03-16,2025-03-20
PO00234,2025-03-21,S001,P027,WH-South,298,262,3376.64,884679.68,2025-04-06,2025-04-12
PO00235,2026-01-29,S008,P013,WH-West,35,33,272.75,9000.75,2026-02-16,2026-02-21
PO00236,2025-12-16,S023,P071,WH-South,167,139,3389.05,471077.95,2026-01-07,2026-01-14
PO00237,2025-07-30,S010,P082,WH-West,406,387,5709.22,2209468.14,2025-08-10,2025-08-08
PO00238,2026-02-07,S022,P038,WH-North,281,239,7793.26,1862589.14,2026-02-16,2026-02-24
PO00239,2026-01-06,S017,P052,WH-South,48,42,1367.08,57417.36,2026-01-11,2026-01-19
PO00240,2025-04-09,S017,P073,WH-South,279,245,4048.01,991762.45,2025-04-20,2025-04-26
PO00241,2025-09-24,S017,P087,WH-West,468,427,5608.98,2395034.46,2025-10-14,2025-10-14
PO00242,2025-02-21,S021,P095,WH-West,133,133,4617.29,614099.57,2025-03-13,2025-03-19
PO00243,2025-05-02,S013,P066,WH-East,27,24,6590.35,158168.4,2025-05-23,2025-05-28
PO00244,2025-02-01,S019,P040,WH-East,323,283,5809.38,1644054.54,2025-02-09,2025-02-15
PO00245,2025-12-02,S022,P038,WH-North,274,234,7793.26,1823622.84,2025-12-22,2025-12-19
PO00246,2026-04-13,S001,P041,WH-South,103,93,7152.57,665189.01,2026-04-21,2026-04-27
PO00247,2025-10-19,S023,P005,WH-South,35,30,3730.15,111904.5,2025-10-28,2025-11-01
PO00248,2026-03-07,S012,P064,WH-East,322,273,6957.51,1899400.23,2026-03-16,2026-03-23
PO00249,2025-06-20,S009,P056,WH-North,306,303,765.88,232061.64,2025-07-14,2025-07-11
PO00250,2026-01-03,S017,P087,WH-South,115,96,5608.98,538462.08,2026-01-18,2026-01-25
PO00251,2025-11-04,S025,P049,WH-West,141,136,2161.22,293925.92,2025-11-22,2025-11-22
PO00252,2025-03-09,S022,P059,WH-West,245,211,524.57,110684.27,2025-03-30,2025-04-04
PO00253,2025-05-13,S005,P096,WH-West,48,39,4344.62,169440.18,2025-05-26,2025-05-26
PO00254,2025-03-24,S021,P039,WH-South,95,93,1910.51,177677.43,2025-04-14,2025-04-15
PO00255,2025-06-25,S019,P080,WH-North,343,329,5694.0,1873326.0,2025-07-18,2025-07-23
PO00256,2025-04-22,S017,P055,WH-East,138,122,1236.07,150800.54,2025-04-27,2025-05-01
PO00257,2025-12-21,S012,P075,WH-East,190,159,4020.25,639219.75,2026-01-07,2026-01-04
PO00258,2025-07-10,S012,P078,WH-East,53,47,5690.78,267466.66,2025-07-24,2025-07-23
PO00259,2025-09-19,S012,P064,WH-West,281,241,6957.51,1676759.91,2025-10-03,2025-10-03
PO00260,2025-12-05,S001,P003,WH-South,324,324,5817.69,1884931.56,2025-12-16,2025-12-15
PO00261,2026-02-24,S003,P008,WH-South,207,192,5513.62,1058615.04,2026-03-06,2026-03-11
PO00262,2025-02-17,S009,P079,WH-East,70,70,6732.07,471244.9,2025-02-28,2025-03-02
PO00263,2025-04-30,S017,P073,WH-East,28,25,4048.01,101200.25,2025-05-09,2025-05-08
PO00264,2026-01-19,S003,P016,WH-South,152,142,4791.69,680419.98,2026-01-30,2026-02-03
PO00265,2025-11-25,S017,P026,WH-East,385,330,5615.99,1853276.7,2025-12-14,2025-12-19
PO00266,2026-06-28,S001,P032,WH-South,211,207,6504.58,1346448.06,2026-07-12,2026-07-18
PO00267,2025-03-26,S010,P082,WH-West,35,29,5709.22,165567.38,2025-04-19,2025-04-19
PO00268,2025-01-17,S003,P008,WH-East,206,198,5513.62,1091696.76,2025-02-03,2025-02-04
PO00269,2026-06-20,S020,P060,WH-East,203,182,1061.17,193132.94,2026-07-03,2026-07-02
