order_id,order_date,product_id,customer_id,warehouse,quantity,unit_price,sales,order_status,delivery_date,order_year,order_month,order_month_name,fulfilled_flag
O00045,2026-04-30,P081,C0652,WH-West,11,8788.43,96672.73,Delivered,2026-05-07,2026,4,April,1
O00046,2025-01-28,P082,C0112,WH-South,10,7665.58,76655.8,Delivered,2025-02-07,2025,1,January,1
O00047,2025-02-08,P023,C0907,WH-South,1,2561.5,2561.5,Delivered,2025-02-18,2025,2,February,1
O00048,2025-09-30,P098,C0950,WH-South,2,2843.84,5687.68,Delivered,2025-10-10,2025,9,September,1
O00049,2025-08-19,P072,C0977,WH-South,4,7933.68,31734.72,Delivered,2025-08-23,2025,8,August,1
O00050,2025-03-27,P013,C0394,WH-South,8,359.86,2878.88,Delivered,2025-04-01,2025,3,March,1
O00051,2026-04-19,P023,C0887,WH-North,10,2561.5,25615.0,Returned,2026-04-28,2026,4,April,0
O00052,2025-05-06,P057,C0240,WH-East,4,919.99,3679.96,Delivered,2025-05-15,2025,5,May,1
O00053,2026-06-21,P062,C0272,WH-North,14,11436.7,160113.8,Delivered,2026-06-24,2026,6,June,1
O00054,2025-05-25,P054,C0143,WH-West,3,5559.97,16679.91,Delivered,2025-06-03,2025,5,May,1
O00055,2026-06-09,P020,C0954,WH-North,3,2297.9,6893.7,Processing,2026-06-17,2026,6,June,0
O00056,2025-07-31,P086,C0719,WH-North,12,3132.13,37585.56,Delivered,2025-08-10,2025,7,July,1
O00057,2025-01-25,P052,C0119,WH-East,5,2109.04,10545.2,Delivered,2025-01-31,2025,1,January,1
O00058,2026-01-29,P023,C0596,WH-West,3,2561.5,7684.5,Delivered,2026-02-01,2026,1,January,1
O00059,2025-03-08,P035,C0900,WH-West,8,10862.84,86902.72,Delivered,2025-03-14,2025,3,March,1
O00060,2025-08-21,P067,C0992,WH-South,5,3626.7,18133.5,Delivered,2025-08-24,2025,8,August,1
O00061,2025-04-19,P034,C0251,WH-East,12,7873.1,94477.2,Delivered,2025-04-25,2025,4,April,1
O00062,2025-05-26,P033,C0278,WH-North,14,7876.29,110268.06,Delivered,2025-06-05,2025,5,May,1
O00063,2025-04-21,P046,C0163,WH-North,12,2032.34,24388.08,Delivered,2025-04-29,2025,4,April,1
O00064,2025-08-16,P081,C0654,WH-North,14,8788.43,123038.02,Delivered,2025-08-24,2025,8,August,1
O00065,2025-04-21,P045,C0350,WH-West,7,11503.77,80526.39,Delivered,2025-04-23,2025,4,April,1
O00066,2026-04-15,P019,C0031,WH-West,11,6267.38,68941.18,Delivered,2026-04-25,2026,4,April,1
O00067,2025-02-03,P094,C0458,WH-North,8,9560.46,76483.68,Delivered,2025-02-10,2025,2,February,1
O00068,2026-01-04,P087,C0838,WH-West,5,6619.57,33097.85,Delivered,2026-01-12,2026,1,January,1
O00069,2026-03-01,P015,C0091,WH-South,8,10925.43,87403.44,Delivered,2026-03-04,2026,3,March,1
O00070,2026-06-02,P078,C0128,WH-North,12,8749.35,104992.2,Delivered,2026-06-04,2026,6,June,1
O00071,2025-10-09,P066,C0779,WH-North,15,9296.31,139444.65,Delivered,2025-10-14,2025,10,October,1
O00072,2025-11-16,P039,C0548,WH-South,3,2741.34,8224.02,Delivered,2025-11-26,2025,11,November,1
O00073,2026-03-19,P018,C0970,WH-West,15,6842.11,102631.65,Cancelled,Unknown,2026,3,March,0
O00074,2025-11-11,P070,C0848,WH-North,14,2886.35,40408.9,Delivered,2025-11-15,2025,11,November,1
O00075,2026-01-12,P059,C0792,WH-South,12,722.03,8664.36,Delivered,2026-01-14,2026,1,January,1
O00076,2025-10-16,P032,C0725,WH-East,7,8387.44,58712.08,Delivered,2025-10-19,2025,10,October,1
O00077,2026-03-13,P021,C0509,WH-South,8,2945.59,23564.72,Processing,2026-03-23,2026,3,March,0
O00078,2025-10-04,P040,C0936,WH-North,7,7396.64,51776.48,Delivered,2025-10-14,2025,10,October,1
O00079,2026-05-18,P092,C0745,WH-South,14,9918.59,138860.26,Cancelled,Unknown,2026,5,May,0
O00080,2026-05-31,P027,C0740,WH-West,2,3927.78,7855.56,Delivered,2026-06-10,2026,5,May,1
O00081,2025-12-16,P002,C0881,WH-North,8,9662.88,77303.04,Delivered,2025-12-18,2025,12,December,1
O00082,2026-03-22,P097,C0810,WH-North,6,7927.96,47567.76,Delivered,2026-03-27,2026,3,March,1
O00083,2025-12-16,P080,C0237,WH-West,10,6733.38,67333.8,Delivered,2025-12-22,2025,12,December,1
O00084,2025-05-17,P039,C0983,WH-West,3,2741.34,8224.02,Delivered,2025-05-26,2025,5,May,1
O00085,2025-08-31,P086,C0533,WH-West,4,3132.13,12528.52,Delivered,2025-09-06,2025,8,August,1
O00086,2026-06-27,P056,C0608,WH-East,7,888.53,6219.71,Delivered,2026-07-03,2026,6,June,1
O00087,2025-02-09,P013,C0977,WH-North,3,359.86,1079.58,Cancelled,Unknown,2025,2,February,0
O00088,2025-08-17,P056,C0051,WH-North,1,888.53,888.53,Delivered,2025-08-27,2025,8,August,1
O00089,2025-08-11,P066,C0849,WH-North,6,9296.31,55777.86,Cancelled,Unknown,2025,8,August,0
O00090,2025-01-06,P078,C0823,WH-South,3,8749.35,26248.05,Delivered,2025-01-16,2025,1,January,1
O00091,2025-11-18,P056,C0469,WH-North,11,888.53,9773.83,Delivered,2025-11-26,2025,11,November,1
O00092,2026-04-13,P028,C0892,WH-North,15,1732.59,25988.85,Delivered,2026-04-21,2026,4,April,1
O00093,2025-03-16,P064,C0388,WH-West,10,9772.25,97722.5,Delivered,2025-03-22,2025,3,March,1
O00094,2025-01-04,P071,C0062,WH-West,6,4401.72,26410.32,Delivered,2025-01-06,2025,1,January,1
O00095,2025-04-28,P082,C0343,WH-West,10,7665.58,76655.8,Delivered,2025-05-05,2025,4,April,1
O00096,2026-05-19,P064,C0153,WH-North,12,9772.25,117267.0,Delivered,2026-05-26,2026,5,May,1
O00097,2026-03-17,P056,C0736,WH-West,3,888.53,2665.59,Delivered,2026-03-22,2026,3,March,1
O00098,2025-07-13,P041,C0966,WH-East,6,10031.16,60186.96,Delivered,2025-07-16,2025,7,July,1
O00099,2026-01-27,P100,C0654,WH-West,11,6160.6,67766.6,Delivered,2026-01-29,2026,1,January,1
O00100,2025-01-26,P041,C0041,WH-East,4,10031.16,40124.64,Delivered,2025-01-30,2025,1,January,1
O00101,2026-03-11,P100,C0486,WH-South,13,6160.6,80087.8,Returned,2026-03-21,2026,3,March,0
O00102,2025-06-22,P004,C0953,WH-East,4,5647.39,22589.56,Delivered,2025-06-24,2025,6,June,1
O00103,2025-10-27,P057,C0678,WH-East,10,919.99,9199.9,Returned,2025-11-02,2025,10,October,0
O00104,2025-11-22,P030,C0702,WH-South,10,6989.65,69896.5,Delivered,2025-11-29,2025,11,November,1
O00105,2026-02-14,P088,C0809,WH-East,11,7327.81,80605.91,Delivered,2026-02-24,2026,2,February,1
O00106,2025-04-28,P084,C0557,WH-North,2,9567.6,19135.2,Delivered,2025-04-30,2025,4,April,1
O00107,2025-08-13,P046,C0720,WH-North,14,2032.34,28452.76,Delivered,2025-08-19,2025,8,August,1
O00108,2026-06-16,P056,C0382,WH-West,4,888.53,3554.12,Delivered,2026-06-18,2026,6,June,1
O00109,2025-04-23,P031,C0096,WH-West,11,1882.62,20708.82,Delivered,2025-04-26,2025,4,April,1
O00110,2025-05-20,P088,C0912,WH-West,12,7327.81,87933.72,Delivered,2025-05-23,2025,5,May,1
O00111,2025-01-01,P007,C0787,WH-West,4,11389.37,45557.48,Returned,2025-01-07,2025,1,January,0
O00112,2025-03-31,P090,C0293,WH-North,11,2450.87,26959.57,Delivered,2025-04-05,2025,3,March,1
O00113,2025-11-16,P077,C0235,WH-West,7,12073.98,84517.86,Delivered,2025-11-23,2025,11,November,1
O00114,2025-05-19,P054,C0341,WH-East,5,5559.97,27799.85,Delivered,2025-05-25,2025,5,May,1
O00115,2026-05-26,P008,C0719,WH-South,8,7685.98,61487.84,Delivered,2026-05-29,2026,5,May,1
O00116,2025-09-16,P055,C0957,WH-East,7,1487.11,10409.77,Delivered,2025-09-26,2025,9,September,1
O00117,2025-01-10,P069,C0538,WH-South,10,7876.01,78760.1,Delivered,2025-01-19,2025,1,January,1
O00118,2025-09-18,P044,C0350,WH-North,9,3533.01,31797.09,Delivered,2025-09-28,2025,9,September,1
O00119,2025-06-21,P013,C0872,WH-South,8,359.86,2878.88,Delivered,2025-06-28,2025,6,June,1
O00120,2025-01-13,P093,C0207,WH-West,15,11181.17,167717.55,Delivered,2025-01-19,2025,1,January,1
O00121,2025-06-17,P020,C0960,WH-North,9,2297.9,20681.1,Processing,2025-06-23,2025,6,June,0
O00122,2025-11-17,P078,C0491,WH-West,1,8749.35,8749.35,Returned,2025-11-20,2025,11,November,0
O00123,2025-11-15,P032,C0381,WH-East,10,8387.44,83874.4,Delivered,2025-11-20,2025,11,November,1
O00124,2025-11-25,P060,C0141,WH-East,13,1239.87,16118.31,Delivered,2025-11-28,2025,11,November,1
O00125,2026-02-23,P050,C0859,WH-West,12,1973.84,23686.08,Delivered,2026-02-26,2026,2,February,1
O00126,2025-04-05,P027,C0599,WH-South,3,3927.78,11783.34,Delivered,2025-04-14,2025,4,April,1
O00127,2025-11-14,P025,C0930,WH-East,5,2564.25,12821.25,Delivered,2025-11-19,2025,11,November,1
O00128,2025-08-24,P052,C0891,WH-South,9,2109.04,18981.36,Delivered,2025-08-29,2025,8,August,1
O00129,2025-11-30,P068,C0610,WH-East,8,7862.75,62902.0,Returned,2025-12-08,2025,11,November,0
O00130,2026-01-11,P021,C0023,WH-West,14,2945.59,41238.26,Delivered,2026-01-16,2026,1,January,1
O00131,2026-04-04,P018,C0762,WH-West,10,6842.11,68421.1,Delivered,2026-04-14,2026,4,April,1
O00132,2025-05-17,P039,C0364,WH-East,7,2741.34,19189.38,Delivered,2025-05-27,2025,5,May,1
O00133,2026-05-28,P015,C0762,WH-East,2,10925.43,21850.86,Delivered,2026-06-01,2026,5,May,1
O00134,2025-10-23,P053,C0148,WH-South,15,8550.49,128257.35,Cancelled,Unknown,2025,10,October,0
O00135,2025-11-16,P038,C0566,WH-South,11,9847.32,108320.52,Delivered,2025-11-24,2025,11,November,1
O00136,2025-12-15,P048,C0969,WH-South,6,8206.14,49236.84,Delivered,2025-12-19,2025,12,December,1
O00137,2025-08-17,P052,C0954,WH-West,4,2109.04,8436.16,Delivered,2025-08-22,2025,8,August,1
O00138,2025-09-27,P088,C0827,WH-East,5,7327.81,36639.05,Delivered,2025-09-29,2025,9,September,1
O00139,2025-10-18,P072,C0916,WH-North,14,7933.68,111071.52,Delivered,2025-10-28,2025,10,October,1
O00140,2025-06-14,P028,C0551,WH-South,5,1732.59,8662.95,Delivered,2025-06-22,2025,6,June,1
O00141,2025-01-05,P085,C0505,WH-North,13,1090.03,14170.39,Delivered,2025-01-13,2025,1,January,1
O00142,2026-01-14,P016,C0846,WH-West,4,6037.0,24148.0,Delivered,2026-01-24,2026,1,January,1
O00143,2025-03-19,P016,C0218,WH-South,4,6037.0,24148.0,Delivered,2025-03-26,2025,3,March,1
O00144,2026-02-14,P035,C0859,WH-South,15,10862.84,162942.6,Delivered,2026-02-23,2026,2,February,1
O00145,2025-05-12,P017,C0482,WH-North,4,8360.81,33443.24,Returned,2025-05-18,2025,5,May,0
O00146,2025-02-11,P073,C0989,WH-North,11,5286.08,58146.88,Cancelled,Unknown,2025,2,February,0
O00147,2025-03-30,P099,C0416,WH-East,2,1477.4,2954.8,Delivered,2025-04-01,2025,3,March,1
O00148,2026-02-06,P052,C0937,WH-North,1,2109.04,2109.04,Cancelled,Unknown,2026,2,February,0
O00149,2025-10-23,P093,C0749,WH-West,12,11181.17,134174.04,Delivered,2025-10-28,2025,10,October,1
O00150,2025-10-22,P082,C0325,WH-South,2,7665.58,15331.16,Delivered,2025-11-01,2025,10,October,1
O00151,2026-06-10,P012,C0836,WH-North,7,3219.93,22539.51,Delivered,2026-06-19,2026,6,June,1
O00152,2026-02-26,P083,C0855,WH-West,12,1377.9,16534.8,Delivered,2026-03-07,2026,2,February,1
O00153,2025-01-23,P048,C0789,WH-North,1,8206.14,8206.14,Returned,2025-01-26,2025,1,January,0
O00154,2025-05-23,P022,C0737,WH-North,6,9065.34,54392.04,Delivered,2025-05-31,2025,5,May,1
O00155,2025-05-25,P049,C0489,WH-North,4,3014.05,12056.2,Delivered,2025-05-29,2025,5,May,1
O00156,2025-08-13,P052,C0408,WH-East,2,2109.04,4218.08,Delivered,2025-08-20,2025,8,August,1
O00157,2026-05-18,P079,C0144,WH-South,15,8889.27,133339.05,Cancelled,Unknown,2026,5,May,0
O00158,2025-04-14,P001,C0800,WH-South,15,2324.33,34864.95,Delivered,2025-04-21,2025,4,April,1
O00159,2025-02-08,P066,C0211,WH-South,3,9296.31,27888.93,Cancelled,Unknown,2025,2,February,0
O00160,2025-07-17,P064,C0666,WH-East,7,9772.25,68405.75,Delivered,2025-07-21,2025,7,July,1
O00161,2026-01-26,P008,C0259,WH-North,6,7685.98,46115.88,Delivered,2026-01-29,2026,1,January,1
O00162,2025-06-28,P086,C0227,WH-South,15,3132.13,46981.95,Delivered,2025-07-03,2025,6,June,1
O00163,2026-03-24,P025,C0999,WH-South,15,2564.25,38463.75,Delivered,2026-03-27,2026,3,March,1
O00164,2026-05-15,P066,C0594,WH-North,6,9296.31,55777.86,Delivered,2026-05-23,2026,5,May,1
O00165,2025-01-15,P073,C0889,WH-South,8,5286.08,42288.64,Delivered,2025-01-17,2025,1,January,1
O00166,2025-10-16,P073,C0372,WH-North,8,5286.08,42288.64,Delivered,2025-10-18,2025,10,October,1
O00167,2026-04-23,P077,C0391,WH-East,6,12073.98,72443.88,Delivered,2026-04-29,2026,4,April,1
O00168,2025-08-19,P070,C0992,WH-South,1,2886.35,2886.35,Delivered,2025-08-27,2025,8,August,1
O00169,2026-02-24,P094,C0088,WH-South,10,9560.46,95604.6,Delivered,2026-02-26,2026,2,February,1
O00170,2025-06-06,P079,C0400,WH-North,13,8889.27,115560.51,Delivered,2025-06-11,2025,6,June,1
O00171,2026-03-17,P051,C0309,WH-West,7,506.74,3547.18,Delivered,2026-03-23,2026,3,March,1
O00172,2025-04-07,P053,C0984,WH-East,8,8550.49,68403.92,Delivered,2025-04-10,2025,4,April,1
O00173,2026-02-15,P015,C0004,WH-South,5,10925.43,54627.15,Cancelled,Unknown,2026,2,February,0
O00174,2025-10-16,P050,C0173,WH-North,13,1973.84,25659.92,Delivered,2025-10-21,2025,10,October,1
O00175,2025-09-11,P071,C0544,WH-East,11,4401.72,48418.92,Delivered,2025-09-20,2025,9,September,1
O00176,2025-07-15,P075,C0746,WH-North,4,4757.22,19028.88,Delivered,2025-07-17,2025,7,July,1
O00177,2026-06-06,P038,C0226,WH-West,7,9847.32,68931.24,Delivered,2026-06-08,2026,6,June,1
O00178,2026-06-01,P040,C0339,WH-South,12,7396.64,88759.68,Delivered,2026-06-03,2026,6,June,1
O00179,2025-04-28,P066,C0206,WH-West,12,9296.31,111555.72,Delivered,2025-05-03,2025,4,April,1
O00180,2025-06-08,P039,C0102,WH-South,11,2741.34,30154.74,Delivered,2025-06-10,2025,6,June,1
O00181,2025-08-16,P074,C0058,WH-West,13,8610.83,111940.79,Delivered,2025-08-22,2025,8,August,1
O00182,2025-08-04,P017,C0781,WH-South,6,8360.81,50164.86,Delivered,2025-08-11,2025,8,August,1
O00183,2025-01-15,P007,C0150,WH-North,12,11389.37,136672.44,Delivered,2025-01-23,2025,1,January,1
O00184,2025-06-06,P039,C0252,WH-East,6,2741.34,16448.04,Delivered,2025-06-15,2025,6,June,1
O00185,2025-09-18,P068,C0479,WH-South,14,7862.75,110078.5,Delivered,2025-09-27,2025,9,September,1
O00186,2025-06-06,P035,C0556,WH-South,3,10862.84,32588.52,Returned,2025-06-09,2025,6,June,0
O00187,2025-02-16,P051,C0428,WH-North,11,506.74,5574.14,Delivered,2025-02-21,2025,2,February,1
O00188,2025-11-20,P047,Unknown,WH-West,10,9554.1,95541.0,Delivered,2025-11-28,2025,11,November,1
O00189,2025-05-10,P036,C0919,WH-South,15,9014.91,135223.65,Delivered,2025-05-20,2025,5,May,1
O00190,2026-02-15,P064,C0524,WH-West,4,9772.25,39089.0,Processing,2026-02-25,2026,2,February,0
O00191,2025-04-05,P095,C0491,WH-North,5,5427.18,27135.9,Delivered,2025-04-09,2025,4,April,1
O00192,2025-10-19,P089,C0526,WH-South,9,5210.42,46893.78,Delivered,2025-10-27,2025,10,October,1
O00193,2025-10-10,P013,C0292,WH-East,8,359.86,2878.88,Delivered,2025-10-15,2025,10,October,1
O00194,2025-03-10,P018,C0045,WH-South,3,6842.11,20526.33,Delivered,2025-03-20,2025,3,March,1
O00195,2025-01-11,P021,C0200,WH-North,6,2945.59,17673.54,Delivered,2025-01-19,2025,1,January,1
O00196,2025-09-11,P065,C0024,WH-West,10,6932.91,69329.1,Delivered,2025-09-18,2025,9,September,1
O00197,2025-05-14,P100,C0763,WH-South,1,6160.6,6160.6,Delivered,2025-05-24,2025,5,May,1
O00198,2025-01-23,P008,C0631,WH-North,3,7685.98,23057.94,Delivered,2025-01-31,2025,1,January,1
O00199,2025-12-12,P048,C0387,WH-North,10,8206.14,82061.4,Delivered,2025-12-21,2025,12,December,1
O00200,2025-10-29,P085,C0590,WH-North,14,1090.03,15260.42,Delivered,2025-11-04,2025,10,October,1
O00201,2025-12-29,P043,C0435,WH-West,12,7218.47,86621.64,Delivered,2026-01-03,2025,12,December,1
O00202,2026-01-31,P053,C0242,WH-West,7,8550.49,59853.43,Delivered,2026-02-02,2026,1,January,1
O00203,2025-08-06,P085,C0203,WH-East,7,1090.03,7630.21,Delivered,2025-08-15,2025,8,August,1
O00204,2025-05-21,P027,C0237,WH-East,2,3927.78,7855.56,Delivered,2025-05-28,2025,5,May,1
O00205,2025-07-29,P019,C0951,WH-South,3,6267.38,18802.14,Cancelled,Unknown,2025,7,July,0
O00206,2026-04-05,P023,C0294,WH-North,15,2561.5,38422.5,Delivered,2026-04-09,2026,4,April,1
O00207,2025-12-22,P050,C0348,WH-East,7,1973.84,13816.88,Delivered,2025-12-28,2025,12,December,1
O00208,2025-11-20,P051,C0087,WH-West,12,506.74,6080.88,Delivered,2025-11-25,2025,11,November,1
O00209,2025-05-13,P043,C0210,WH-North,6,7218.47,43310.82,Delivered,2025-05-21,2025,5,May,1
O00210,2025-05-07,P099,C0788,WH-South,13,1477.4,19206.2,Delivered,2025-05-14,2025,5,May,1
O00211,2025-04-16,P051,C0609,WH-North,7,506.74,3547.18,Delivered,2025-04-20,2025,4,April,1
O00212,2026-01-13,P069,C0002,WH-East,10,7876.01,78760.1,Delivered,2026-01-15,2026,1,January,1
O00213,2025-02-20,P041,C0999,WH-East,9,10031.16,90280.44,Delivered,2025-02-28,2025,2,February,1
O00214,2025-01-29,P072,C0229,WH-North,8,7933.68,63469.44,Cancelled,Unknown,2025,1,January,0
O00215,2026-04-07,P011,C0410,WH-West,6,11449.02,68694.12,Processing,2026-04-09,2026,4,April,0
O00216,2025-10-23,P080,C0243,WH-North,12,6733.38,80800.56,Delivered,2025-10-25,2025,10,October,1
O00217,2025-10-24,P088,C0770,WH-North,14,7327.81,102589.34,Delivered,2025-10-31,2025,10,October,1
O00218,2026-02-11,P085,C0963,WH-North,4,1090.03,4360.12,Delivered,2026-02-16,2026,2,February,1
O00219,2026-02-09,P052,C0468,WH-North,14,2109.04,29526.56,Delivered,2026-02-18,2026,2,February,1
O00220,2025-12-12,P023,C0458,WH-North,13,2561.5,33299.5,Delivered,2025-12-15,2025,12,December,1
O00221,2026-02-24,P049,C0554,WH-West,10,3014.05,30140.5,Delivered,2026-03-01,2026,2,February,1
O00222,2025-07-01,P038,C0213,WH-South,9,9847.32,88625.88,Delivered,2025-07-10,2025,7,July,1
O00223,2025-01-01,P047,C0808,WH-South,7,9554.1,66878.7,Delivered,2025-01-10,2025,1,January,1
O00224,2026-01-06,P072,C0905,WH-East,5,7933.68,39668.4,Delivered,2026-01-12,2026,1,January,1
O00225,2026-03-07,P007,C0386,WH-West,2,11389.37,22778.74,Processing,2026-03-11,2026,3,March,0
O00226,2025-11-05,P066,C0412,WH-North,9,9296.31,83666.79,Delivered,2025-11-10,2025,11,November,1
O00227,2025-05-17,P094,C0515,WH-West,14,9560.46,133846.44,Delivered,2025-05-21,2025,5,May,1
O00228,2025-07-21,P077,C0528,WH-South,7,12073.98,84517.86,Delivered,2025-07-24,2025,7,July,1
O00229,2026-03-12,P062,C0388,WH-North,9,11436.7,102930.3,Cancelled,Unknown,2026,3,March,0
O00230,2025-11-09,P087,C0279,WH-West,11,6619.57,72815.27,Delivered,2025-11-19,2025,11,November,1
O00231,2025-04-27,P029,C0990,WH-East,9,7630.58,68675.22,Delivered,2025-05-04,2025,4,April,1
O00232,2025-09-01,P038,C0102,WH-South,10,9847.32,98473.2,Returned,2025-09-06,2025,9,September,0
O00233,2026-06-21,P084,C0589,WH-North,5,9567.6,47838.0,Delivered,2026-06-23,2026,6,June,1
O00234,2025-03-16,P033,C0390,WH-North,7,7876.29,55134.03,Delivered,2025-03-24,2025,3,March,1
O00235,2026-01-21,P029,C0202,WH-North,5,7630.58,38152.9,Delivered,2026-01-24,2026,1,January,1
O00236,2025-07-29,P079,C0567,WH-North,15,8889.27,133339.05,Delivered,2025-08-05,2025,7,July,1
O00237,2026-04-20,P023,C0721,WH-North,3,2561.5,7684.5,Delivered,2026-04-22,2026,4,April,1
O00238,2026-02-22,P003,C0392,WH-North,10,8874.43,88744.3,Delivered,2026-03-02,2026,2,February,1
O00239,2025-12-13,P093,C0841,WH-West,8,11181.17,89449.36,Delivered,2025-12-18,2025,12,December,1
O00240,2026-06-13,P045,C0354,WH-East,8,11503.77,92030.16,Delivered,2026-06-17,2026,6,June,1
O00241,2025-06-28,P008,C0593,WH-West,9,7685.98,69173.82,Delivered,2025-07-06,2025,6,June,1
O00242,2025-07-01,P086,C0756,WH-West,11,3132.13,34453.43,Delivered,2025-07-05,2025,7,July,1
O00243,2025-01-25,P029,C0235,WH-North,14,7630.58,106828.12,Delivered,2025-02-03,2025,1,January,1
O00244,2025-06-29,P002,C0114,WH-North,12,9662.88,115954.56,Returned,2025-07-04,2025,6,June,0
O00245,2026-05-16,P050,C0982,WH-West,6,1973.84,11843.04,Delivered,2026-05-20,2026,5,May,1
O00246,2025-06-10,P065,C0960,WH-South,2,6932.91,13865.82,Delivered,2025-06-18,2025,6,June,1
O00247,2025-06-26,P020,C0067,WH-North,3,2297.9,6893.7,Delivered,2025-07-04,2025,6,June,1
O00248,2025-10-12,P052,C0809,WH-North,13,2109.04,27417.52,Delivered,2025-10-22,2025,10,October,1
