Product_ID,Product_Name,Category,Sub_Category,Unit_Cost,Selling_Price,Reorder_Level,Safety_Stock,Supplier_ID
P065,Product 065,Home Appliances,Small Appliances,5199.81,6932.91,70,52,S005
P066,Product 066,Industrial,Hardware,6590.35,9296.31,62,53,S013
P067,Product 067,Industrial,Hardware,3111.48,3626.7,54,32,S017
P068,Product 068,Home Appliances,Kitchen,6782.27,7862.75,53,50,S007
P069,Product 069,Industrial,Safety,5619.39,7876.01,48,45,S025
P070,Product 070,Furniture,Office Furniture,2363.97,2886.35,92,33,S003
P071,Product 071,Electronics,,3389.05,4401.72,115,33,S023
P072,Product 072,Furniture,Office Furniture,5486.78,7933.68,118,50,S017
P073,Product 073,Electronics,Networking,4048.01,5286.08,32,28,S017
P074,Product 074,Industrial,Tools,7257.25,8610.83,90,37,S014
P075,Product 075,Industrial,Hardware,4020.25,4757.22,88,44,S012
P076,Product 076,Electronics,Computer Parts,1819.91,2781.69,35,48,S013
P077,Product 077,Furniture,Storage Furniture,7797.85,12073.98,24,44,S023
P078,Product 078,Furniture,Seating,5690.78,8749.35,28,19,S012
P079,Product 079,Electronics,Accessories,6732.07,8889.27,59,51,S009
P080,Product 080,Home Appliances,Small Appliances,5694.0,6733.38,56,47,S019
P081,Product 081,Furniture,Office Furniture,7060.83,8788.43,90,34,S013
P082,Product 082,Industrial,Safety,5709.22,7665.58,73,48,S010
P083,Product 083,Home Appliances,Small Appliances,1022.9,1377.9,32,59,S020
P084,Product 084,Industrial,Tools,6608.9,9567.6,22,22,S025
P085,Product 085,Industrial,Tools,800.7,1090.03,25,53,S013
P086,Product 086,Furniture,Office Furniture,2683.09,3132.13,104,20,S005
P087,Product 087,Industrial,Hardware,5608.98,6619.57,66,50,S017
P088,Product 088,Electronics,Accessories,5620.86,7327.81,106,20,S012
P089,Product 089,Home Appliances,Cleaning,3726.91,5210.42,27,37,S004
P090,Product 090,Home Appliances,Cleaning,1950.75,2450.87,60,45,S022
P091,Product 091,Electronics,Accessories,2579.79,3806.53,111,57,S013
P092,Product 092,Office Supplies,Stationery,7533.17,9918.59,88,56,S025
P093,Product 093,Home Appliances,Cleaning,7471.92,11181.17,24,42,S022
P094,Product 094,Electronics,Networking,7900.12,9560.46,104,35,S025
P095,Product 095,Office Supplies,Storage,4617.29,5427.18,118,10,S021
P096,Product 096,Industrial,Tools,4344.62,6299.54,22,32,S005
P097,Product 097,Furniture,Office Furniture,6093.09,7927.96,104,23,S009
P098,Product 098,Electronics,Computer Parts,2306.64,2843.84,84,58,S008
P099,Product 099,Home Appliances,Small Appliances,1041.43,1477.4,53,12,S018
P100,Product 100,Industrial,Tools,4482.47,6160.6,113,26,S016
